,T_in (K),P_in (Pa),Conversion,F_in (mol/s),Heat Duty (W),F_out (mol/s),T_out (K),H2,H2O,CO2,CO,CH4
179,586.2573055977358,810532.0603353728,0.7276900406661295,309,16932419.06301548,418.16277572911946,993.3697567172331,0.46135236937956714,0.35927685898248085,0.06980565921533784,0.060724689182095434,0.04884042324051867
180,584.9901911480747,835855.9670117664,0.6359720482924935,309,14930752.453038687,404.4050768730741,963.2787232430569,0.42537376255251713,0.38915334394980466,0.07153618966091313,0.04642494906561513,0.06751175477114983
181,556.1386929222873,990533.3700019964,0.519978832812437,309,12944408.460692668,387.0060945510656,933.6073039476418,0.3721533481361902,0.43403528607689984,0.06984483405835633,0.03094063873627454,0.093025892992279
182,575.0026928512393,886339.8835185945,0.5325211483096769,309,12849426.585311105,388.88744187565146,930.5753650128047,0.37892805612829195,0.4281981925594105,0.07082538818976443,0.0318913919751205,0.09015697114741268
183,593.3895401485128,1145094.1699750896,0.7734978913586954,309,18409762.8997977,425.0339533330043,1037.769027782672,0.4744114220011605,0.34911754747381607,0.06494525067307257,0.07155801253622211,0.039967767315728785
184,690.2362631775611,1049537.99682517,0.7138493201947611,309,15641372.307701789,416.08666765841417,1008.0619230466666,0.4539474378044594,0.3657868012786919,0.06793147159311504,0.0607553692247808,0.05157892009895291
185,625.4913607362782,822888.1706591015,0.6210777403373651,309,14068922.025700077,402.1709306798047,956.9546522218756,0.4192690941481879,0.394227670458806,0.07179870055286976,0.044040129964678085,0.07066440487545836
186,618.6020306910411,1131744.865840818,0.6521248794999935,309,15275873.210052213,406.82800155419903,991.4096485023905,0.4294553097582095,0.3861764081514354,0.06879159603409175,0.05144483196110075,0.06413185409516262
187,539.666984857174,1038322.8058432103,0.7045882983546773,309,17333470.351684816,414.6975143824016,1003.8375300455282,0.4505857335610433,0.3685446514751324,0.06830138983667683,0.05914162657037687,0.05342659855677066
188,658.3353063622693,873099.2554983294,0.5382408462611151,309,11896829.697675178,389.7453965683673,931.6333983110201,0.3817504482218822,0.42580037748840227,0.07102403175859662,0.03256729626700937,0.08885784626410949
189,696.9241786250627,1095106.2797094996,0.7824905637007974,309,17215631.078436513,426.38285418431957,1037.7637577910589,0.477876615539073,0.34621063605482943,0.06496044148351199,0.07269277663812387,0.03825953028446171
190,575.4978993817693,1047021.5224962739,0.5885806390744134,309,14292964.169148143,397.296365490362,962.7471869673811,0.4033845413916579,0.40782395113954406,0.07005492829970107,0.04107049724726893,0.07766608192182806
191,646.3008543106953,1148252.886130002,0.6868150657477679,309,15726247.465369476,412.0315294913652,1005.1111610363625,0.4429586747159558,0.37500142206258,0.06790633349339821,0.05712611183300299,0.057007457895063014
192,541.6866010557944,1199775.6795772058,0.7807181977387979,309,19299699.475254036,426.1169992900197,1044.4992213062967,0.47644071190343,0.34753678752097106,0.06420277071847293,0.07322437882210023,0.038595351035025816
193,603.4974935725296,959178.9642980421,0.8459007964169878,309,19772828.386796318,435.89438909174817,1054.4234328286248,0.4995727441763553,0.32835305246193885,0.06293560463804021,0.08262428572044574,0.026514313003219853
194,631.4903092636978,891338.3860326508,0.7398751469721137,309,16771903.163491353,419.99054167501697,1005.0551549336703,0.4649111818450771,0.35649865406775466,0.06854056977177174,0.06359768161449689,0.046451912700899725
195,528.975103483367,991756.1527122614,0.7474634336439487,309,18383912.48102678,421.12878467579236,1016.177005209204,0.46665263419207315,0.3552399020530001,0.0672990903601977,0.0658334318426214,0.04497494155210755
196,683.3427765358415,1022792.877394967,0.6914961243881157,309,15186137.405400764,412.73368828741735,997.9261527828659,0.4457565840880487,0.37251320613908784,0.0687904376295134,0.056879917259930086,0.056059854883419996
197,514.8347779025769,1037453.1192048582,0.5251022939779989,309,13622261.100203156,387.7746137258998,938.7600008866306,0.374313338168897,0.43225940512621097,0.06963115433578201,0.03194551006389448,0.09185059230521558
198,692.2137333186006,916158.1668778452,0.8835606191393118,309,19533341.679476764,441.5433625000968,1069.952081682087,0.5111787546796249,0.3189485077298887,0.06093726949298792,0.08915722136969347,0.019778246727805118
199,596.406150485971,972682.9582447727,0.9022963468579159,309,21384509.033762317,444.3537216578874,1086.429204665112,0.515858045377926,0.3153435939985795,0.058977258410340364,0.09333024452816321,0.01649085768499096
200,660.6530005955899,1039441.8012376418,0.688063448239524,309,15427830.239230674,412.21878686512866,997.9166215037926,0.444301108827565,0.3737416826637873,0.06873774105571803,0.056465039640569266,0.05675442781236035
201,653.757697824507,1145778.7090779261,0.7365524101855719,309,16770071.102170305,419.4921311570357,1023.4328774998523,0.4614531110791845,0.3597445367862969,0.06639375243363406,0.06530743195887151,0.04710116774201311
202,528.22938479328,958345.0379347324,0.6819315085248933,309,16845359.328092292,411.298995907934,989.5582477095961,0.44263824897855214,0.3749976302746286,0.06958946708352873,0.05477515184594891,0.05799950181734162
203,697.4489767311817,1009751.0304681878,0.73734690015474,309,16031519.351196121,419.611304652411,1013.7754104597777,0.4628758084949017,0.3583726208939775,0.0675026364774226,0.06430314818850706,0.0469457859451912
204,566.9809873805586,1167064.2598150875,0.6464313612735105,309,15842640.479554256,405.9739738202265,991.6803687090597,0.42690226371917656,0.388341607588657,0.06863531641248358,0.050802221398216066,0.06531859088146685
205,577.4573266719656,1161991.2314801032,0.5566808637352308,309,13695771.381979907,392.51139918948456,958.6159547034487,0.3883131725780947,0.4205938301033974,0.06920602155249851,0.03717877292523851,0.08470820284077098
206,508.39708612212104,996181.6687306641,0.7707463241234335,309,19184859.073418047,424.62121824771503,1025.4840795555385,0.4747441764901406,0.3486132617878425,0.06633801241897963,0.06981192917044685,0.0404926201325904
207,515.9881225131121,878373.2457646222,0.9623965691249019,309,24213334.36383955,453.36875499793535,1132.464620912563,0.5312197014858449,0.3033384172068701,0.05359695914646794,0.10562425237591935,0.006220669784897705
208,520.5227219196382,932738.8281549569,0.8631218753098626,309,21197592.362619635,438.4775509256794,1060.535861641384,0.5050446162907464,0.3238949050269292,0.062142986470167874,0.0855049837950487,0.023412508417107836
209,631.2846314976169,1055123.6924860096,0.601986577656892,309,13894454.926663939,399.30725627773376,968.1440508407939,0.40915550584447996,0.40300373099986575,0.06995060074104739,0.04313317714467102,0.074756985269936
210,693.953689392685,829477.361176332,0.8739244756644304,309,19099290.828655962,440.0979409788645,1056.324135122289,0.509331619995074,0.3202377263509429,0.06253787543188365,0.08640741452297282,0.02148536369912674
211,608.7498023200206,1127992.268064013,0.9185943478331956,309,21957350.957914315,446.79842180417927,1111.104259730856,0.518846231885967,0.31327900380774065,0.05625791873150974,0.0979520168409287,0.013664828733853919
212,648.9840264670504,879522.3375833915,0.5407162359697361,309,12081147.223583587,390.1167050246604,933.0434581517064,0.3828703569139766,0.42486363963954554,0.07101200394880405,0.0329566211526673,0.08829737834500664
213,656.4040254647539,953376.973011744,0.7488054599368794,309,16752762.12627229,421.3300886197319,1013.5994586637808,0.46748692249702545,0.35449071029317336,0.06760750956988638,0.0657002953202568,0.04471456231965803
214,593.5942287541033,1109345.317391036,0.7394675512846526,309,17561059.02729857,419.9294023218979,1021.9754416123429,0.4627894717576625,0.3585943624342958,0.06657954190019626,0.06550515088973884,0.04653147301810667
215,532.9365176416162,1068582.80311804,0.7446858627402784,309,18381662.02302436,420.7121490402418,1020.9954207986061,0.4649900088307833,0.35672614573259354,0.06672644668074945,0.06604276282686096,0.045514635929012656
216,654.8900753536761,936958.235654509,0.5420596136764646,309,12111426.80556181,390.31821168066966,937.9283765201761,0.383064639856898,0.42476861642435226,0.07059289391390752,0.03358018733550255,0.08799366246933975
217,574.7263668446805,817340.9411743562,0.8877933612655367,309,20974062.041532047,442.17827381903044,1062.6964245493257,0.5134538120746663,0.31691736581025703,0.061705008227966034,0.08889190209189446,0.019031911795216207
218,505.99836343461766,1094393.117503369,0.6136868371800078,309,15768272.147391224,401.0622952062011,975.0447259083346,0.41386617008394,0.39911505340844416,0.06958165364863186,0.0451952602909681,0.07224186256801594
219,623.5482830112975,1173430.1219113334,0.6956621693739311,309,16252639.9640856,413.3585950352897,1010.0411205196909,0.4461451282459323,0.37239939785398707,0.06748120305097757,0.058755055448473696,0.05521921540062933
220,589.0255162262641,1023860.695097558,0.7199318232229495,309,17050537.634193256,416.99904311264237,1008.3835105873854,0.45641493966776914,0.3637137129235538,0.06796162568400704,0.06153763189566586,0.05037208982900414
221,617.4597092511549,846528.1240192032,0.9409807032596049,309,22079163.103893068,450.1563751181407,1104.084561784883,0.5270077042101049,0.30636979770105865,0.05668079130601376,0.10010857434219496,0.009833132440627838
